Cantidad de vehiculos,Velocidad promedio,Duracion de congestion,Fecha y hora,Ubicacion,Intensidad de trafico,Dia laboral,Latitud,Longitud
100,69.7,33,2024-11-06 14:30:00,Calle C,2,1,-44.4846,101.0859
186,40.0,54,2024-11-06 14:45:00,Calle A,2,0,-29.6456,-121.0238
243,33.8,42,2024-11-06 15:00:00,IntersecciÃ³n B,1,1,-31.1011,-35.0317
347,80.3,17,2024-11-06 15:15:00,Calle A,2,0,16.4268,-76.755
77,73.3,11,2024-11-06 15:30:00,Avenida D,3,0,-34.9025,65.68
455,55.5,57,2024-11-06 15:45:00,Calle C,1,0,-14.4019,80.4471
414,58.6,28,2024-11-06 16:00:00,Avenida D,3,0,48.6278,29.277
245,41.6,21,2024-11-06 16:15:00,Calle C,2,1,79.853,149.9731
166,42.9,34,2024-11-06 16:30:00,IntersecciÃ³n B,3,1,56.5877,18.9952
380,56.9,11,2024-11-06 16:45:00,Calle C,3,0,38.4353,-137.4262
245,50.1,8,2024-11-06 17:00:00,Calle C,1,1,44.1009,16.2924
150,87.7,5,2024-11-06 17:15:00,IntersecciÃ³n B,1,0,-65.0426,-126.8388
259,69.7,1,2024-11-06 17:30:00,Calle C,3,1,-78.9344,-114.5236
403,36.0,12,2024-11-06 17:45:00,Calle A,1,0,-23.5592,-129.3848
420,69.4,11,2024-11-06 18:00:00,Plaza E,1,1,63.1942,17.804
369,85.2,23,2024-11-06 18:15:00,IntersecciÃ³n B,1,1,-39.9509,-138.7471
161,88.6,9,2024-11-06 18:30:00,Plaza E,2,0,59.7649,32.3499
414,56.1,34,2024-11-06 18:45:00,IntersecciÃ³n B,2,1,-34.3976,139.2916
243,51.2,49,2024-11-06 19:00:00,IntersecciÃ³n B,3,0,-50.8064,27.3029
429,80.7,24,2024-11-06 19:15:00,Avenida D,3,0,51.871,75.7013
104,85.6,10,2024-11-06 19:30:00,Avenida D,3,1,51.9594,87.5148
59,32.8,43,2024-11-06 19:45:00,Calle C,1,0,40.6749,8.158
465,57.5,2,2024-11-06 20:00:00,Plaza E,1,0,32.0081,148.503
456,87.9,56,2024-11-06 20:15:00,IntersecciÃ³n B,2,0,61.0125,96.2184
354,65.4,47,2024-11-06 20:30:00,Calle C,2,1,-75.4741,-88.8994
71,85.5,36,2024-11-06 20:45:00,Calle A,2,1,34.7833,-89.1861
452,83.4,2,2024-11-06 21:00:00,IntersecciÃ³n B,1,0,-63.3909,-69.2673
252,51.8,18,2024-11-06 21:15:00,Calle A,3,1,38.4366,105.2396
408,90.5,13,2024-11-06 21:30:00,Calle C,3,1,16.3103,-111.264
429,91.6,39,2024-11-06 21:45:00,Avenida D,2,0,10.809,-30.5804
412,53.8,0,2024-11-06 22:00:00,Calle C,1,1,72.4257,55.1362
471,44.0,43,2024-11-06 22:15:00,Calle A,1,0,-3.6725,-43.2513
121,86.8,1,2024-11-06 22:30:00,IntersecciÃ³n B,2,1,11.4702,86.1708
124,77.4,30,2024-11-06 22:45:00,Plaza E,2,0,7.4207,143.5644
287,68.5,7,2024-11-06 23:00:00,Calle C,3,0,-76.7395,113.3708
439,46.5,29,2024-11-06 23:15:00,IntersecciÃ³n B,1,1,-5.3841,-74.3488
64,93.5,26,2024-11-06 23:30:00,Avenida D,2,1,-28.8002,-58.7657
194,48.9,19,2024-11-06 23:45:00,Avenida D,1,1,-64.8699,131.7706
446,55.5,9,2024-11-07 00:00:00,Avenida D,1,0,-15.1138,61.8882
361,61.0,57,2024-11-07 00:15:00,IntersecciÃ³n B,3,1,15.3317,151.1463
101,95.1,38,2024-11-07 00:30:00,Calle C,2,0,29.0004,51.7099
99,51.0,41,2024-11-07 00:45:00,IntersecciÃ³n B,3,0,-63.2134,-16.3535

